transaction_id,amount_usd,payment_method,date
152,176.98,Unknown,2024-04-16
153,331.91,Bitcoin,2024-04-14
154,360.83,Unknown,
155,256.16,Unknown,2024-04-26
156,352.73,Bitcoin,2024-04-22
157,48.39,Unknown,2024-04-11
158,111.19,Bitcoin,2024-04-15
159,249.82,Unknown,2024-04-15
160,143.79,Credit Card,2024-04-27
161,415.79,Unknown,2024-04-11
162,301.38,Unknown,2024-04-25
163,328.03,Bitcoin,2024-04-4
164,458.74,Bitcoin,2024-04-26
165,393.45,Credit Card,2024-04-22
166,74.95,Paypal,2024-04-3
167,460.48,Bitcoin,2024-04-16
168,191.01,Credit Card,2024-04-6
169,467.02,Bitcoin,2024-04-26
170,242.13,Bitcoin,2024-04-11
171,161.29,Unknown,2024-04-2
172,454.62,Paypal,2024-04-12
173,221.05,Bitcoin,2024-04-20
174,160.88,Unknown,2024-04-12
175,208.46,Bitcoin,2024-04-1
176,240.29,Unknown,2024-04-3
177,33.7,Paypal,2024-04-11
178,92.36,Unknown,2024-04-7
179,184.48,Paypal,2024-04-27
180,492.54,Unknown,2024-04-6
181,147.97,Unknown,
182,455.05,Credit Card,2024-04-27
183,56.82,Bitcoin,2024-04-7
184,227.48,Bitcoin,2024-04-5
185,131.95,Credit Card,2024-04-2
186,389.61,Bitcoin,2024-04-5
187,338.84,Paypal,2024-04-16
188,434.55,Credit Card,2024-04-2
189,-12.26,Paypal,2024-04-11
190,354.41,Paypal,2024-04-19
191,149.54,Bitcoin,2024-04-7
192,-6.63,Credit Card,2024-04-12
193,183.0,Bitcoin,
194,296.29,Credit Card,2024-04-27
195,345.23,Credit Card,2024-04-25
196,245.82,Credit Card,2024-04-21
197,251.08,Paypal,2024-04-24
198,100.72,Bitcoin,2024-04-3
199,355.03,Credit Card,2024-04-13
200,198.61,Paypal,2024-04-6
